자치구명,범죄대분류,범죄중분류,발생건수
동작구,마약범죄,마약범죄,64
동작구,보건범죄,보건범죄,59
동작구,환경범죄,환경범죄,0
동작구,교통범죄,교통범죄,1523
동작구,노동범죄,노동범죄,4
동작구,안보범죄,안보범죄,1
동작구,선거범죄,선거범죄,1
동작구,병역범죄,병역범죄,41
동작구,기타범죄,기타범죄,1692
관악구,강력범죄,살인기수,3
관악구,강력범죄,살인미수등,14
관악구,강력범죄,강도,10
관악구,강력범죄,강간,78
관악구,강력범죄,유사강간,20
관악구,강력범죄,강제추행,220
관악구,강력범죄,기타 강간 강제추행등,3
관악구,강력범죄,방화,13
관악구,절도범죄,절도범죄,2005
관악구,폭력범죄,상해,135
관악구,폭력범죄,폭행,1341
관악구,폭력범죄,체포감금,10
관악구,폭력범죄,협박,237
관악구,폭력범죄,약취 유인,4
관악구,폭력범죄,폭력행위등,74
관악구,폭력범죄,공갈,49
관악구,폭력범죄,손괴,540
관악구,지능범죄,직무유기,11
관악구,지능범죄,직권남용,24
관악구,지능범죄,증수뢰,0
관악구,지능범죄,통화,3
관악구,지능범죄,문서 인장,92
관악구,지능범죄,유가증권인지,0
관악구,지능범죄,사기,4204
관악구,지능범죄,횡령,855
관악구,지능범죄,배임,21
관악구,풍속범죄,성풍속범죄,315
관악구,풍속범죄,도박범죄,41
관악구,특별경제범죄,특별경제범죄,647
관악구,마약범죄,마약범죄,175
관악구,보건범죄,보건범죄,83
관악구,환경범죄,환경범죄,4
관악구,교통범죄,교통범죄,1152
관악구,노동범죄,노동범죄,0
관악구,안보범죄,안보범죄,2
관악구,선거범죄,선거범죄,1
관악구,병역범죄,병역범죄,185
관악구,기타범죄,기타범죄,2808
서초구,강력범죄,살인기수,1
서초구,강력범죄,살인미수등,6
서초구,강력범죄,강도,9
서초구,강력범죄,강간,55
서초구,강력범죄,유사강간,9
서초구,강력범죄,강제추행,340
서초구,강력범죄,기타 강간 강제추행등,2
서초구,강력범죄,방화,10
서초구,절도범죄,절도범죄,1941
서초구,폭력범죄,상해,106
서초구,폭력범죄,폭행,1249
서초구,폭력범죄,체포감금,16
서초구,폭력범죄,협박,220
서초구,폭력범죄,약취 유인,6
서초구,폭력범죄,폭력행위등,52
서초구,폭력범죄,공갈,88
서초구,폭력범죄,손괴,419
